"","x1","x2","x3","x4","cat1","cat2"
"1",0.829798097554604,0.200714537016074,0.239627628361921,0.585924736714486,"a","b"
"2",-0.0742026480275194,0.330393973437254,0.813945184376959,-1.48051976564864,"a","b"
"3",0.646047424043078,2.33113567171319,0.56785283256708,0.720804029100028,"a","b"
"4",1.26494152892463,1.19874543779599,0.604851024239166,0.989363542024443,"b","b"
"5",0.0490381496429503,-1.22744398925487,-1.58968239447725,-0.388366330200893,"b","a"
"6",0.152092914493362,0.409340472176873,1.07903107042827,1.07064533848356,"a","b"
"7",-1.83283245082997,-0.473812676441429,-1.07586922756445,-0.615887206040429,"b","b"
"8",0.904162975601624,-0.836040081503954,-0.565167302824967,-1.2027382904578,"b","b"
"9",1.70729366834303,0.666009125767739,-0.765087464930322,-1.42724402416812,"b","d"
"10",-0.49917419786989,0.950746089726671,1.63620171985975,0.549249120831585,"b","b"
"11",0.0018883980835171,0.483354816698343,0.320894144505913,1.74294732468972,"b","d"
"12",0.577282072185697,0.0199226660545662,0.609035139371738,-0.216006345818423,"b","d"
"13",0.332951717105234,1.00016028123128,2.0184269514981,0.953541260206967,"b","b"
"14",0.0676319421988198,1.19696601191321,-0.498615821050144,-0.106027569197587,"a","a"
"15",0.36193191704375,1.18592069534038,0.353549647879407,1.51817730903276,"b","c"
"16",1.06379112651732,-0.88797821898315,-0.763049107168521,1.0095156229518,"a","b"
"17",0.772914179388894,0.481013017203349,-0.714053647143836,0.272411841783526,"b","c"
"18",0.464673570876047,-0.597983569549262,-0.0846436218050594,-2.56403801420576,"a","c"
"19",-0.0648794495171761,0.196590823007318,0.579954008087758,1.05376735732051,"b","a"
"20",0.912828617435512,2.10066575117496,-0.210107607767969,-1.13783421488713,"b","d"
"21",-0.417972255114915,1.15027255504469,0.693202754278053,0.343036173806724,"b","d"
"22",0.163450126855712,-0.38273985549298,0.367822984131214,-0.0912267525025081,"b","d"
"23",1.55591725789186,1.20216982008991,-1.14727951918426,-0.143681772226896,"a","b"
"24",-0.0134392488188402,-0.933016209321077,0.146799566097452,-0.160510622527425,"a","b"
"25",-0.818500695035808,-0.140888127001103,0.105265147903171,0.619035452010136,"c","b"
"26",-0.0480246024061187,0.966229510181544,0.862945087633107,-2.31871800063867,"b","d"
"27",0.725008891428914,-0.202459374145629,0.261567619988948,-0.172332797645881,"a","d"
"28",1.34292035787009,1.04705501831699,0.31828753662698,-0.526847557270995,"a","d"
"29",0.252861323424387,0.782290919527679,-0.290162631025705,-0.142721341734354,"a","b"
"30",0.222109747609002,1.33602141811176,0.514802987903777,0.702001239409571,"a","b"
"31",0.392728940751034,1.36022619450753,0.211879100463027,1.29263732099183,"b","d"
"32",1.81025318068674,0.776248083634772,1.00452523722928,-0.948621631564287,"a","b"
"33",0.226049218781434,0.846485648492305,-1.16893614025802,-2.08616467770793,"b","b"
"34",0.427947360853979,0.222513622824636,2.99041058336673,0.740961691657867,"a","d"
"35",1.10961614541806,0.702850877313338,0.970393768072426,-0.338744761820815,"a","c"
"36",0.117006879240464,-0.300045927041658,-0.544062686082609,-0.659354338986156,"c","d"
"37",0.300048434912235,0.229066211632579,0.00142349440650998,0.0279431565729063,"b","c"
"38",-1.38728415500294,-1.7494468931363,-1.10488168730342,-0.13390970415933,"a","b"
"39",-1.16681816400031,0.115009056568042,1.39984731467096,1.27448893717125,"a","b"
"40",0.0160056807898111,0.370196044133065,0.432589597180859,0.120641661136864,"a","d"
"41",0.651577536942298,0.765559623621615,1.56855846931394,1.8405723117581,"b","b"
"42",-1.41814299816246,0.178855921630066,0.564444006865415,0.397872835503217,"b","a"
"43",-1.13898220165911,-0.084097642205314,-0.904635843383444,-0.581629790417455,"a","c"
"44",0.489108757697895,0.907990734044016,0.484483299847286,0.650783408283368,"a","b"
"45",0.00676732892326701,-1.49710223731638,-0.515480758456935,-0.410390045984829,"a","d"
"46",0.897963807361032,-0.0795788617918262,0.0100530676951085,0.342915919012042,"b","d"
"47",1.80005264762644,1.04526741715152,2.53114452320252,0.944150355887821,"a","b"
